name,mac address,encryption,lat,lon
xfinitywifi,CA:7C:D1:29:C6:58,None,32.488445,-92.163223
xfinitywifi,CA:7C:D1:9D:AE:38,None,32.492210,-92.131973
None,CA:9F:EC:04:FE:C2,WPA+AES-CCM WPA+PSK WPA+TKIP,32.493443,-92.129990
None,CA:9F:EC:0B:90:EB,WPA+AES-CCM WPA+PSK WPA+TKIP,32.499481,-92.129792
None,CA:9F:EC:1E:1C:0F,WPA+AES-CCM WPA+PSK WPA+TKIP,32.485346,-92.159664
None,CA:9F:EC:2E:1E:A4,WPA+AES-CCM WPA+PSK WPA+TKIP,32.484992,-92.159454
None,CA:9F:EC:5F:50:AB,WPA+AES-CCM WPA+PSK WPA+TKIP,32.487412,-92.141273
None,CA:9F:EC:5F:83:AB,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488442,-92.163241
xfinitywifi,CA:AB:82:66:B0:DC,None,32.490352,-92.134919
xfinitywifi,CA:AB:82:AC:02:E6,None,32.486773,-92.161020
xfinitywifi,CA:AB:82:AC:21:F4,None,32.487236,-92.139843
xfinitywifi,CA:AB:82:AC:44:84,None,32.492097,-92.163362
xfinitywifi,CA:AB:82:C6:04:30,None,32.497231,-92.126567
xfinitywifi,CA:AB:82:C6:88:F7,None,,
xfinitywifi,CA:AB:82:CA:A3:8F,None,32.488544,-92.167564
HOME-C998,CC:03:FA:3C:C9:98,WPA+AES-CCM WPA+PSK WPA+TKIP,32.489490,-92.143401
HOME-66D0,CC:03:FA:43:66:D0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491898,-92.164787
HOME-8974,CC:03:FA:6A:89:74,WPA+AES-CCM WPA+PSK WPA+TKIP,32.494487,-92.124197
KNOX WIFI,CC:03:FA:6B:B1:7C,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488494,-92.167313
HOME-26DC,CC:03:FA:84:26:DC,WPA+AES-CCM WPA+PSK WPA+TKIP,32.490282,-92.167978
HOME-87EA,CC:03:FA:C4:87:EA,WPA+AES-CCM WPA+PSK WPA+TKIP,32.487030,-92.153229
HOME-A3E9,CC:35:40:53:A3:E9,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492989,-92.129761
HOME-B1F7,CC:35:40:A5:B1:F7,WPA+AES-CCM WPA+PSK WPA+TKIP,32.493098,-92.176358
HOME-861F,CC:35:40:A8:86:1F,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492396,-92.126660
HOME-388F,CC:35:40:AC:38:8F,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488443,-92.163223
HOME-B6C7,CC:35:40:B7:B6:C7,WPA+AES-CCM WPA+PSK WPA+TKIP,32.499811,-92.130078
BEARCAVE,CC:40:D0:76:95:04,WPA+AES-CCM WPA+PSK,32.487915,-92.141771
virginia1922,CC:40:D0:C1:27:63,WPA+AES-CCM WPA+PSK,32.488491,-92.166817
ATT336,CC:65:AD:29:5C:F0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.499215,-92.129437
ATT624,CC:65:AD:29:8C:F0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.496847,-92.126266
ATT616,CC:65:AD:45:2F:20,WEP,32.490104,-92.135311
HOME-E8B2,CC:A4:62:85:E8:B0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491979,-92.164066
HOME-5142,CC:A4:62:A5:51:40,WPA+AES-CCM WPA+PSK WPA+TKIP,32.497860,-92.127060
HOME-3102,CC:A4:62:F6:31:00,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492991,-92.130757
BUFFALO-G-10D1,CC:E1:D5:00:10:D0,WPA+AES-CCM WPA+PSK,32.486988,-92.146591
None,CE:03:FA:3C:C9:99,WPA+AES-CCM WPA+PSK,32.489521,-92.143364
xfinitywifi,CE:03:FA:3C:C9:9A,None,32.489506,-92.143351
xfinitywifi,CE:03:FA:43:66:D2,None,32.492502,-92.164791
xfinitywifi,CE:03:FA:6A:89:76,None,32.494297,-92.124096
xfinitywifi,CE:03:FA:6B:B1:7E,None,32.488497,-92.167427
None,CE:03:FA:84:26:DE,None,32.490471,-92.167959
xfinitywifi,CE:2E:48:E8:CC:90,None,32.492253,-92.126525
xfinitywifi,CE:35:40:53:A3:EB,None,32.493021,-92.129808
xfinitywifi,CE:35:40:A5:B1:F9,None,32.493080,-92.176336
None,CE:35:40:A8:86:10,WPA+AES-CCM WPA+PSK,32.492315,-92.126582
None,CE:35:40:A8:86:11,None,32.492316,-92.126639
None,CE:35:40:AC:38:81,None,32.488430,-92.162514
xfinitywifi,CE:35:40:B7:B6:C9,None,32.499583,-92.129899
None,CE:61:A3:6D:4B:1B,WPA+AES-CCM WPA+TKIP,32.488457,-92.164691
